City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Salinópolis,-0.61,-47.36,81.86,84.78,80,1011,13.29,13.29
Serebryansk,49.69,83.29,28.4,21.38,86,1034,4.47,4.47
Nsanje,-16.92,35.26,77.9,81.34,68,1011,4.45,4.45
Maracaju,-21.61,-55.17,73.62,71.01,42,1011,4.34,4.34
Orshanka,56.92,47.89,37.36,30.9,95,1025,6.26,6.26
Lastoursville,-0.81,12.73,72.82,80.29,95,1012,1.48,1.48
Xiangfan,32.04,112.14,59.38,55.92,50,1021,2.44,2.44
Rantauprapat,2.1,99.83,75.0,81.97,86,1012,1.66,1.66
Kirakira,-10.45,161.92,84.9,90.55,70,1011,7.34,7.34
Gravdal,68.12,13.5,43.7,19.17,90,983,39.95,39.95
Tautira,-17.73,-149.15,80.6,81.43,78,1012,14.99,14.99
Ürümqi,43.8,87.6,37.4,29.97,51,1033,4.47,4.47
Quatre Cocos,-20.21,57.76,71.29,73.69,83,1018,5.82,5.82
Nara,34.69,135.8,50.95,48.24,76,1027,2.24,2.24
Gal'bshtadt,53.23,78.98,34.32,19.78,85,1022,19.06,19.06
Beaverlodge,55.22,-119.44,26.6,15.1,73,1008,11.41,11.41
Codrington,-38.27,141.97,54.72,44.91,62,1024,14.16,14.16
Neyshabur,36.21,58.8,48.94,43.84,39,1020,1.1,1.1
Cururupu,-1.83,-44.87,78.03,84.94,85,1011,4.23,4.23
Grindavik,63.84,-22.43,42.8,31.66,81,1007,14.99,14.99
Kashgar,39.45,75.98,39.2,30.34,18,1024,4.47,4.47
Skopelos Town,39.12,23.72,55.99,55.49,80,1027,1.01,1.01
Păuneşti,46.03,27.1,36.01,31.82,100,1029,2.24,2.24
Mundo Nuevo (Ojo de Agua),18.7,-95.5,75.81,71.37,79,1019,20.4,20.4
Weiser,44.25,-116.97,64.58,58.51,25,1025,3.44,3.44
Kosh-Agach,50.0,88.67,5.14,-2.33,87,1034,2.24,2.24
Verkhnyaya Inta,65.98,60.31,35.44,24.04,91,1008,14.16,14.16
Orange Walk District,17.83,-88.83,75.42,79.79,94,1010,9.17,9.17
Pouembout,-21.13,164.9,81.09,83.88,63,1013,6.24,6.24
Castro,-24.79,-50.01,52.47,46.47,95,1017,11.32,11.32
Colares,38.8,-9.45,55.0,48.15,81,1009,11.99,11.99
St. George's,12.06,-61.75,80.6,85.96,78,1012,6.93,6.93
Cedar City,37.68,-113.06,71.6,63.79,17,1028,5.82,5.82
Severnoye,56.35,78.36,32.23,20.77,96,1013,13.82,13.82
Rundu,-17.93,19.77,73.27,72.5,55,1008,4.76,4.76
Fukuechō,32.69,128.84,50.0,46.49,87,1026,4.7,4.7
Markova,48.68,24.41,47.28,42.82,92,1029,5.88,5.88
Santiago del Estero,-27.8,-64.26,80.04,69.08,27,1009,16.62,16.62
Mahon,39.89,4.27,62.6,59.7,77,1024,8.05,8.05
Pangai,-19.8,-174.35,80.6,76.24,69,1016,20.8,20.8
Yangjiang,21.85,111.97,68.97,68.9,80,1018,7.67,7.67
Zhifang,30.35,114.32,60.8,55.35,63,1020,8.95,8.95
Klaksvík,62.23,-6.59,50.0,29.3,100,1014,36.91,36.91
Amahai,-3.33,128.92,82.71,91.26,74,1012,1.74,1.74
Sampit,-2.53,112.95,77.23,85.57,92,1012,3.29,3.29
Athens,37.98,23.72,61.05,56.75,63,1023,7.0,7.0
Cairns,-16.92,145.77,87.03,88.23,45,1013,5.82,5.82
Nanortalik,60.14,-45.24,31.87,18.05,89,993,17.45,17.45
Morehead,37.27,-87.18,60.87,54.86,47,1026,6.91,6.91
Safaga,26.73,33.94,71.6,64.24,40,1015,11.41,11.41
Chui,-33.7,-53.46,56.07,51.53,82,1024,8.5,8.5
Sulangan,11.14,123.72,80.55,87.69,80,1012,4.45,4.45
Thinadhoo,0.53,72.93,82.81,88.95,69,1009,4.12,4.12
Novoseleznëvo,55.68,69.21,33.73,23.05,91,1022,12.44,12.44
Arman',59.7,150.17,11.32,-2.54,87,983,14.16,14.16
Opuwo,-18.06,13.84,66.58,56.75,26,1010,10.76,10.76
Esperance,-33.87,121.9,57.2,50.56,67,1028,10.29,10.29
Zarubino,42.63,131.09,41.7,33.19,60,1020,7.99,7.99
Yurino,56.29,46.3,39.2,31.44,93,1026,8.95,8.95
La Palma,33.85,-118.05,78.21,73.76,47,1016,11.41,11.41
Lucea,18.45,-78.17,78.04,84.02,88,1012,6.93,6.93
Nemuro,43.32,145.57,42.8,34.32,70,1011,9.17,9.17
Nivala,63.92,24.97,37.0,31.1,93,1003,5.01,5.01
Iquitos,-3.75,-73.25,84.2,95.43,83,1008,2.24,2.24
Clyde River,70.47,-68.59,-0.4,-15.48,64,1004,14.99,14.99
Pachino,36.72,15.09,57.2,57.56,93,1024,2.24,2.24
Mogadishu,2.04,45.34,78.82,81.09,83,1011,12.53,12.53
Saint-Joseph,-21.37,55.62,66.61,64.45,63,1017,5.82,5.82
Husavik,66.04,-17.34,46.4,27.45,49,1000,26.4,26.4
Aklavik,68.22,-135.01,5.0,-5.15,84,1016,6.93,6.93
Geraldton,-28.77,114.6,77.0,70.12,36,1016,11.41,11.41
Tura,25.52,90.22,61.84,58.46,40,1012,1.16,1.16
Līgatne,57.23,25.04,44.01,38.53,88,1018,5.99,5.99
Tsimmerbude,54.67,20.13,46.4,38.82,93,1027,11.18,11.18
Todos Santos,23.45,-110.22,80.51,86.63,74,1010,4.0,4.0
Whitehorse,60.72,-135.05,0.86,-11.49,70,1007,10.29,10.29
Lagoa,39.05,-27.98,60.67,50.11,73,1032,19.89,19.89
Myitkyina,25.38,97.4,67.39,72.01,96,1014,2.13,2.13
Moundsville,39.92,-80.74,57.36,52.86,76,1026,8.05,8.05
Imeni Poliny Osipenko,52.42,136.49,16.74,8.69,87,1005,4.45,4.45
Kabanjahe,3.1,98.49,64.45,67.8,91,1012,1.07,1.07
Lincoln,40.8,-96.67,66.97,60.85,42,1015,8.05,8.05
Yashkino,55.87,85.43,30.2,17.28,92,1006,15.66,15.66
Chapais,49.78,-74.85,23.0,10.49,100,1019,13.87,13.87
Raja,8.46,25.68,73.04,72.52,49,1010,2.44,2.44
Atar,20.52,-13.05,80.91,75.94,16,1010,2.1,2.1
Solwezi,-12.17,26.39,61.14,62.26,93,1012,3.24,3.24
Pisco,-13.7,-76.22,64.24,65.1,88,1014,4.7,4.7
Taltal,-25.4,-70.48,58.53,56.88,76,1017,3.56,3.56
Abu Dhabi,24.47,54.37,74.43,78.69,78,1012,3.49,3.49
Mikhaylovka,50.06,43.24,41.11,33.8,75,1027,7.11,7.11
San Matías,-16.37,-58.4,81.99,76.24,22,1008,6.04,6.04
Yerbogachën,61.28,108.01,13.93,6.12,96,1005,3.96,3.96
Bandarbeyla,9.49,50.81,74.39,72.79,70,1012,11.43,11.43
Dongsheng,39.82,109.98,37.96,29.68,66,1021,7.31,7.31
Helena,46.59,-112.04,58.57,47.26,31,1022,12.75,12.75
Nioro,13.35,-15.75,76.87,81.19,76,1011,4.76,4.76
Miraflores,19.22,-98.81,69.8,61.27,26,1026,9.17,9.17
Synya,65.37,58.04,36.93,29.68,95,1011,7.54,7.54
Sesheke,-17.48,24.3,73.4,75.6,64,1013,2.24,2.24
Karoi,-16.81,29.69,69.37,69.57,70,1010,4.9,4.9
Alice Springs,-23.7,133.88,73.4,64.29,43,1022,16.11,16.11
Panama City,8.99,-79.52,80.6,85.33,78,1009,8.05,8.05
Innisfail,-17.53,146.03,88.0,87.44,29,1017,1.99,1.99
Raudeberg,61.99,5.14,47.08,28.44,93,1015,31.09,31.09
Laas,46.62,10.7,46.99,40.86,86,1029,8.05,8.05
Payson,40.04,-111.73,66.74,61.11,26,1028,3.36,3.36
Yicheng,31.37,119.87,54.0,51.55,83,961,4.0,4.0
Chum Phae,16.54,102.1,70.52,75.31,86,1014,1.77,1.77
Mokrousovo,55.81,66.77,32.79,22.98,94,1024,10.89,10.89
Departamento de Maldonado,-34.67,-54.92,60.4,51.15,72,1023,17.22,17.22
Conroe,30.31,-95.46,70.88,69.06,59,1023,6.46,6.46
Shingū,33.73,135.98,51.8,44.82,53,1026,6.93,6.93
Plettenberg Bay,-34.05,23.37,64.2,63.99,88,1010,6.58,6.58
Gerāsh,27.67,54.14,56.43,51.93,38,1013,1.41,1.41
Emerald,-23.53,148.17,84.99,76.6,35,1013,17.22,17.22
Chokwé,-24.53,32.98,77.29,79.56,65,1012,5.03,5.03
Arlit,18.74,7.39,77.68,70.95,20,1015,5.97,5.97
Panjāb,34.39,67.02,21.61,14.38,81,1023,3.47,3.47
Seoul,37.57,126.98,39.4,33.94,75,1028,3.38,3.38
Fare,-16.7,-151.02,79.59,81.86,79,1012,11.86,11.86
Constantine,36.37,6.61,50.0,46.71,71,1023,2.24,2.24
Port-Gentil,-0.72,8.78,77.95,84.45,87,1011,5.57,5.57
Kiruna,67.86,20.23,33.8,20.01,80,988,17.22,17.22
Partizansk,43.13,133.13,36.91,31.87,65,1020,1.25,1.25
Yingchuan,34.16,113.46,53.6,49.96,58,1021,2.24,2.24
Chippewa Falls,44.94,-91.39,61.2,54.43,34,1013,5.82,5.82
Tuatapere,-46.13,167.68,57.99,51.19,85,1006,14.0,14.0
George Town,5.41,100.34,77.63,85.78,94,1010,4.7,4.7
Lopez Jaena,10.85,123.43,78.75,86.43,84,1012,3.2,3.2
Şırnak,37.52,42.46,52.83,45.36,65,1015,9.8,9.8
Salmās,38.2,44.77,48.2,43.02,87,1021,6.93,6.93
Safford,32.83,-109.71,84.2,79.11,20,1020,4.7,4.7
Havelock,34.88,-76.9,59.27,56.97,63,1031,2.73,2.73
Galveston,29.37,-94.97,69.93,67.14,69,1024,10.29,10.29
Dondo,-19.61,34.74,75.11,82.33,91,1012,2.86,2.86
Laramie,41.31,-105.59,56.14,41.34,30,1028,18.34,18.34
Roberval,48.52,-72.23,28.4,19.99,86,1024,6.93,6.93
Beringovskiy,63.05,179.32,36.9,19.87,95,994,24.9,24.9
Sisimiut,66.94,-53.67,25.43,15.03,93,1001,10.27,10.27
Kiama,-34.68,150.87,54.48,45.57,94,1012,17.38,17.38
Non Sang,16.87,102.57,71.6,75.54,88,1014,4.7,4.7
Krasnoturansk,54.32,91.56,32.0,15.42,89,1012,22.37,22.37
Berlevåg,70.86,29.09,35.6,18.77,80,987,23.04,23.04
Polyarny,69.2,33.45,37.4,30.29,86,993,6.71,6.71
Lewisville,33.05,-96.99,69.78,61.61,37,1021,11.41,11.41
Savannakhet,16.57,104.75,68.27,68.25,86,1014,8.61,8.61
Rock Sound,24.9,-76.2,79.0,72.01,81,1018,28.43,28.43
Qazvin,36.28,50.0,53.6,45.16,32,1021,6.93,6.93
Banda Aceh,5.56,95.32,78.89,85.51,80,1011,3.8,3.8
Sur,22.57,59.53,70.29,66.4,47,1013,6.62,6.62
Mount Isa,-20.73,139.5,93.2,90.16,36,1015,12.75,12.75
Province of Mantua,45.17,10.78,57.07,57.74,93,1027,1.61,1.61
Grand Gaube,-20.01,57.66,71.01,73.22,76,1018,4.0,4.0
Lovozero,68.0,35.01,35.56,27.03,87,996,8.81,8.81
Leh,34.17,77.58,25.48,17.64,70,1026,4.59,4.59
Alexandria,31.22,29.96,73.4,64.56,56,1015,19.46,19.46
Ancud,-41.87,-73.82,46.51,33.51,71,1015,18.34,18.34
Tūkrah,32.53,20.58,68.2,65.73,63,1022,7.2,7.2
Denpasar,-8.65,115.22,81.95,88.61,81,1012,7.11,7.11
Aitape,-3.14,142.35,76.57,83.53,87,1011,3.42,3.42
Santa Vitória do Palmar,-33.52,-53.37,57.02,52.07,79,1024,9.22,9.22
Bay Roberts,47.6,-53.26,27.79,13.8,54,1029,14.99,14.99
Astoria,46.19,-123.83,60.57,52.34,87,1019,18.34,18.34
Lorengau,-2.02,147.27,84.24,92.41,74,1010,3.91,3.91
Borogontsy,62.67,131.17,0.48,-7.94,92,1001,3.67,3.67
Ko Samui,9.54,99.94,82.17,86.68,69,1012,6.42,6.42
Ahipara,-35.17,173.17,64.51,64.69,95,1005,7.61,7.61
Port Macquarie,-31.43,152.92,81.0,77.86,46,1004,10.25,10.25
Pedasí,7.53,-80.03,77.58,74.1,79,1010,20.2,20.2
Iralaya,15.0,-83.23,77.45,83.3,91,1007,7.58,7.58
Fonte Boa,-2.5,-66.27,80.82,87.78,73,1006,2.42,2.42
Souillac,-20.52,57.52,71.6,74.12,83,1018,5.82,5.82
Nieuw Amsterdam,5.88,-55.08,79.79,83.23,83,1010,11.41,11.41
Olafsvik,64.89,-23.71,43.5,28.81,73,1004,20.69,20.69
Champasak,14.75,106.0,70.63,76.73,89,1013,0.34,0.34
Sibolga,1.74,98.78,77.45,82.33,74,1012,3.58,3.58
Pushkino,56.02,37.87,44.8,35.6,93,1022,13.42,13.42
Uruaçu,-14.52,-49.14,71.8,76.66,79,1012,0.72,0.72
Kärdla,59.0,22.75,46.0,37.38,85,1016,11.99,11.99
Coquimbo,-29.95,-71.34,57.2,52.66,76,1018,8.05,8.05
Berwick,41.05,-76.23,49.82,44.33,64,1029,5.19,5.19
Verkhnevilyuysk,63.45,120.32,1.35,-6.92,94,1005,3.49,3.49
Māngrol,21.12,70.12,77.67,76.1,49,1012,6.69,6.69
Shimoda,34.67,138.95,59.34,50.63,48,1023,11.41,11.41
Edd,13.93,41.69,79.23,77.47,59,1010,11.5,11.5
Chumikan,54.72,135.31,15.12,-6.27,91,1003,28.05,28.05
Puerto Lleras,3.02,-73.4,74.52,83.14,97,1010,1.66,1.66
Suez,29.97,32.53,68.34,66.38,70,1015,8.12,8.12
Hoquiam,46.98,-123.89,57.9,46.76,93,1018,23.04,23.04
West Plains,36.73,-91.85,69.8,62.82,28,1023,6.93,6.93
Tazovsky,67.47,78.7,-2.83,-13.85,93,1005,8.08,8.08
Palauig,15.44,119.9,81.75,89.33,74,1012,2.55,2.55
Caravelas,-17.71,-39.25,70.95,75.24,93,1015,4.9,4.9
Robertson,36.52,-86.87,59.65,54.46,45,1026,4.7,4.7
Padang,-0.95,100.35,79.38,84.16,68,1012,3.2,3.2
Hörstel,52.32,7.58,36.61,32.5,100,1037,2.24,2.24
Talcahuano,-36.72,-73.12,57.2,46.02,67,1022,18.34,18.34
Batemans Bay,-35.72,150.18,57.99,56.55,100,1011,7.07,7.07
Camaná,-16.62,-72.71,64.15,62.42,78,1017,7.07,7.07
Buchanan,5.88,-10.05,77.0,84.38,94,1012,5.41,5.41
Batticaloa,7.71,81.69,78.37,84.72,81,1010,4.16,4.16
Ust-Maya,60.42,134.53,2.19,-5.62,92,1002,2.71,2.71
Lompoc,34.64,-120.46,71.13,61.79,49,1018,17.22,17.22
Pecos,31.42,-103.49,86.0,78.78,13,1019,5.82,5.82
Río Gallegos,-51.62,-69.22,44.6,41.04,93,998,3.36,3.36
Douentza,15.0,-2.95,81.95,77.67,24,1011,4.21,4.21
Tromsø,69.65,18.96,40.46,20.73,86,984,29.97,29.97
Shache,38.42,77.24,34.47,25.88,70,1026,7.45,7.45
Flinders,-34.58,150.86,55.76,52.27,85,1006,7.0,7.0
Wanning,18.8,110.4,74.37,73.99,84,1014,13.51,13.51
Boa Esperança,-21.09,-45.57,65.08,61.84,64,1015,7.2,7.2
Oskaloosa,41.3,-92.64,63.16,54.12,51,1017,13.87,13.87
Qianjiang,30.42,112.89,59.34,56.98,60,1021,2.3,2.3
Hudson Bay,52.85,-102.38,38.95,31.91,89,1012,7.25,7.25
Vangaindrano,-23.35,47.6,70.81,73.2,85,1015,5.97,5.97
Richards Bay,-28.78,32.04,72.5,78.1,89,1013,2.77,2.77
Dimitrovgrad,54.21,49.62,39.2,34.3,100,1028,4.47,4.47
Byron Bay,-28.65,153.62,81.3,80.69,61,1008,11.7,11.7
Kalga,50.93,118.9,15.76,8.56,94,1017,3.06,3.06
Caxias,38.7,-9.28,54.59,47.52,76,1010,11.41,11.41
Kikwit,-5.04,18.82,70.48,76.28,97,1011,2.91,2.91
Sungai Penuh,-2.08,101.38,67.6,71.96,88,1012,0.85,0.85
Aripuanã,-9.17,-60.63,81.75,87.3,61,1007,1.12,1.12
Belmonte,-15.86,-38.88,69.8,71.74,94,1015,8.34,8.34
Bilma,18.69,12.92,69.93,62.8,23,1015,5.91,5.91
Kavaratti,10.57,72.64,82.49,87.98,76,1009,7.74,7.74
Northam,51.03,-4.22,38.34,33.58,93,1040,3.36,3.36
Viedma,-40.81,-63.0,61.0,62.44,90,1012,1.99,1.99
Pyshma,56.95,63.25,31.82,23.63,98,1024,8.01,8.01
Phek,25.67,94.5,48.45,47.37,100,1013,1.34,1.34
Grand-Bourg,15.88,-61.31,78.8,83.23,78,1014,6.93,6.93
Saint-Augustin,51.23,-58.65,27.01,13.82,77,1028,14.7,14.7
Boda,4.32,17.47,71.31,76.44,89,1010,2.62,2.62
Uitenhage,-33.76,25.4,66.09,65.79,93,1012,9.17,9.17
Blackfoot,43.19,-112.34,65.68,50.43,13,1027,17.22,17.22
Fairbanks,64.84,-147.72,-16.4,-23.84,75,1024,0.96,0.96
El Cobre,20.05,-75.95,73.4,78.57,94,1015,5.82,5.82
Cayenne,4.93,-52.33,77.0,83.71,100,1012,8.59,8.59
Soyo,-6.13,12.37,77.76,83.3,83,1010,5.73,5.73
Marsabit,2.33,37.99,65.28,61.27,93,1011,15.17,15.17
San Juan,-31.54,-68.54,80.6,67.05,27,1008,21.39,21.39
Verāval,20.9,70.37,77.97,77.5,56,1011,7.29,7.29
Terney,45.05,136.61,35.26,25.52,68,1015,9.51,9.51
Moanda,-1.56,13.22,70.99,78.26,97,1012,0.72,0.72
Manyana,-23.4,21.72,70.14,68.45,57,1008,5.3,5.3
Selma,36.57,-119.61,77.92,75.22,33,1022,3.36,3.36
Nuuk,64.18,-51.72,24.8,16.18,92,1003,6.93,6.93
Nalgonda,17.05,79.27,67.46,63.81,47,1012,5.06,5.06
Lake Charles,30.21,-93.2,63.39,57.88,42,1024,5.82,5.82
Korostyshiv,50.32,29.06,41.18,35.91,91,1030,4.99,4.99
Santa Isabel Rio Negro,-0.41,-65.02,76.26,84.43,95,1009,3.58,3.58
Fomboni,-12.28,43.74,78.46,78.76,79,1013,14.27,14.27
Yenangyaung,20.47,94.88,73.67,79.29,90,1012,4.09,4.09
Jacmel,18.23,-72.53,84.2,78.13,51,1014,19.46,19.46
Saint Anthony,45.02,-93.22,64.51,58.84,34,1012,4.7,4.7
Tallahassee,30.44,-84.28,63.86,61.02,52,1026,3.36,3.36
Atig,56.69,59.42,32.29,25.99,97,1027,4.72,4.72
Petukhovo,55.07,67.9,33.21,22.53,92,1025,12.39,12.39
Peniche,39.36,-9.38,53.4,48.06,77,1010,8.01,8.01
Shelburne,44.08,-80.2,57.04,43.79,54,1020,19.77,19.77
Calama,-22.47,-68.93,69.8,51.39,12,1025,23.04,23.04
Ponta do Sol,32.67,-17.1,56.98,49.84,77,1015,12.75,12.75
Oranjestad,12.52,-70.03,84.2,84.85,74,1010,17.22,17.22
Sorong,-0.88,131.25,82.35,88.88,72,1013,4.18,4.18
Turbat,26.0,63.04,63.9,56.84,24,1013,4.85,4.85
Huarmey,-10.07,-78.15,63.52,60.87,81,1016,8.97,8.97
Launceston,-41.45,147.17,57.88,51.24,46,1017,6.93,6.93
Harper,4.38,-7.72,78.19,84.83,89,1011,6.24,6.24
Makhachkala,42.98,47.5,57.09,54.07,71,1020,4.47,4.47
Swakopmund,-22.68,14.53,58.35,57.09,87,1014,4.7,4.7
Buraidah,26.33,43.98,62.6,55.29,33,1013,6.93,6.93
Alugan,12.22,125.48,81.01,87.89,81,1012,5.79,5.79
Sandwick,60.0,-1.25,51.8,32.34,100,1019,35.57,35.57
Taksimo,56.34,114.88,13.12,7.2,92,1014,0.4,0.4
Vilyuysk,63.76,121.62,-2.61,-11.6,92,1005,4.45,4.45
Kushima,31.46,131.23,50.36,43.97,81,1025,9.17,9.17
Digby,44.62,-65.77,37.0,26.87,65,1035,10.31,10.31
Bubaque,11.28,-15.83,84.04,87.69,72,1012,10.89,10.89
Loa Janan,-0.58,117.09,82.99,91.51,74,1012,2.08,2.08
Jalu,29.03,21.55,62.15,57.94,74,1021,9.55,9.55
Kutum,14.2,24.67,66.96,57.34,29,1015,11.16,11.16
